role_id,attack,method,result,material
B11_hidden_assumption,"Annahme: keine Manipulation zwischen Hash-Deklaration und Lesezeitpunkt. Da die 2 CSV ihren deklarierten Hash bereits byte-technisch verfehlen, ist 'unveraendert seit Deklaration' fuer diese Dateien s",mtimes 18:02-18:03; Hash-Vergleich zeigt LF!=CRLF-Deklaration.,Der Unveraenderlichkeits-Glaube ist an genau den checkbaren Objekten widerlegt.,DIVERGENCE
B11_hidden_assumption,"Annahme: SHA256 wird ueber rohe Bytes mit genau der impliziten Normalisierung des Erzeugers berechnet. Die CRLF/LF-Divergenz zeigt, dass eine undokumentierte Encoding-Konvention verifikationstragend i","Nachweis, dass nur CRLF-Normalisierung Hash-Match erzeugt; keine Doku dieser Konvention im Manifest.",Verifikationsprozedur haengt an einer ungeschriebenen Encoding-Annahme.,MINOR
B11_hidden_assumption,"Annahme: das ausgelieferte Manifest ist out-of-band vertrauenswuerdig, obwohl es das 5. tatsaechlich gelieferte File ist und sich selbst aus der Integritaetspruefung ausnimmt. Der Verifizierer prueft ",Delivered set = 4 gelistete + Manifest selbst; Manifest fehlt in eigener Liste.,Zirkulaerer Trust: das Pruefinstrument ist selbst ungeprueft.,MATERIAL_OMISSION
B11_hidden_assumption,"Annahme: JSON-invariants (official_count=27, remote_count=0, release_decisions=0, freigabe=OFFEN) beschreiben den realen Systemzustand statt eines Wunschzustands. Nur remote_count=0 ist repo-seitig gr","JSON gelesen; nur remote/branch-Lage git-verifizierbar (0 remotes/candidate-refs), Rest ohne Backing-Artefakt.","Der 'Invarianten'-Block wird als Fakt geglaubt, ist aber grossteils unbelegte Deklaration.",MINOR
B12_adversarial_completeness,CRLF-laundering of semantic content in the two CSVs,"Attacker mutates a field (e.g. XMR-CP-005 severity CRITICAL->HIGH, or a status OPEN->SUPERSEDED) while preserving line count. The QC procedure already treats th","I proved LF->CRLF DOES reproduce the declared hash for the current (faithful) files, so the correct check exists but is not performed. As specified, the QC cannot distinguish EOL normalization from se",DIVERGENCE
B12_adversarial_completeness,13 of 17 manifest assets are 'accounted-by-manifest' but never byte-transferred or byte-verified,"The operative instructions live in the non-inline set: S11_FINAL_...CONTROL_PLANE_V3_PROMPT.md (21362 B), S11_PROJECT_HANDOFF_MASTER.md (4408 B), the V3 reconci",The single most load-bearing artifacts (the prompt that will drive the next Claude and the human handoff) pass transfer purely on a self-declared manifest line. Zero byte assurance.,MATERIAL_OMISSION
B12_adversarial_completeness,Manifest is an unsigned root of trust with no self-entry,AUTHORITATIVE_CONTEXT_MANIFEST.csv contains no row for itself and is not signed/hashed anywhere. Attacker edits the manifest directly: rewrites a declared hash ,Confirmed: grep self-entry = 0; actual sha 20a4c526 is referenced by nothing. The entire content-addressing scheme rests on an object whose own integrity is unverifiable.,DIVERGENCE
B12_adversarial_completeness,Row-count-only integrity lets an ID be dropped under constant count,QC checks XMR=25 and DEC=28 as counts. Attacker removes the most dangerous finding (e.g. XMR-CP-011 direct git commit/commit-tree/update-ref bypass) and renumbe,Count and 'no duplicate' both still pass; the removal of a CRITICAL trust-root finding is invisible. QC has no canonical ID manifest to diff against.,MATERIAL_OMISSION
B12_adversarial_completeness,Hash-valid JSON carrying a false state claim,"S11_PROJECT_STATE.json matches its declared hash exactly, but content-addressing proves bytes, not truth. The JSON asserts current_control_plane_candidate.commi","Confirmed via git for-each-ref (0 candidate refs). A hash-valid, internally self-consistent state file misrepresents attestation status and passes QC because QC never cross-checks JSON assertions agai",DIVERGENCE
B12_adversarial_completeness,Self-referential invariant with no ground-truth anchor (official_count=27),"JSON official_count=27 and DEC-014 'OFFICIAL count remains 27' were authored together, so they always match. QC's cross-check is circular; it never reconciles 2","27 is frozen with no external anchor (and stands unreconciled against the 36-item S11 canonical corpus). QC certifies consistency, not correctness.",DIVERGENCE
B12_adversarial_completeness,Poisoned decision smuggled into an all-TO_VERIFY register,Every DEC ships status_at_transfer=TO_VERIFY. Attacker inserts one hostile decision (e.g. a DEC that relaxes a guard or authorizes a bypass) as DEC-029 or by ed,"A guard-weakening decision rides through undetected because QC treats decisions as opaque countable rows, not as claims requiring trace-to-authoritative-handoff.",MATERIAL_OMISSION
B12_adversarial_completeness,XMR status inflation not evidence-checked,All 25 findings are OPEN. Attacker flips XMR-CP-005/006/011 (the CRITICAL branch-advance / ambiguous-CLI / commit-bypass findings) to CLOSED or SUPERSEDED. DEC-,Control plane looks shippable with the same 25 IDs present. QC never validates the status field against remediation evidence.,MATERIAL_OMISSION
B12_adversarial_completeness,Two required ZIPs are never opened; zip-vs-loose divergence poisons the next bootstrap,Manifest lists S11_PROJECT_HANDOFF_PACKAGE...zip (144525 B) and DUAL_COUNCIL_QC_PACKAGE.zip (31189 B) as required=yes. Neither is inline. Attacker keeps honest ,QC cannot detect that the archive that actually seeds the successor project contains different bytes than the per-file declared hashes. No zip-manifest reconciliation is performed.,MATERIAL_OMISSION
B12_adversarial_completeness,Homoglyph / zero-width / BOM tamper hidden behind the 'expected CRLF' waiver,"Because the QC pre-accepts a hash mismatch on the two CSVs as EOL noise, an attacker substitutes a Unicode confusable (e.g. Cyrillic S in 'CRITICAL') or injects",Semantic/visual tampering is indistinguishable from line-ending normalization under a byte-delta-only heuristic. Downstream string matching (e.g. severity filters) can be silently defeated.,DIVERGENCE
B12_adversarial_completeness,The reviewer's own mandate is outside the byte-verified set (meta-omission),"S11_PROJECT_TRANSFER_COUNCIL_B_CLAUDE_PROMPT.md (2752 B) — the prompt this very Council-B role runs under — is a manifest row only, not inline-verified. Attacke",The control that is supposed to validate the transfer cannot prove it received its authentic mandate; the verifier is unverifiable against authoritative bytes.,CONTINUITY_BREAK
B12_adversarial_completeness,No freshness / HEAD-binding enables stale-manifest replay,Files are timestamped 18:02-18:03 but nothing binds the manifest to a repo HEAD commit or a signed monotonic timestamp (unlike the project's own T-001 SNAPSHOT_,A rollback/replay to a more favorable prior state passes QC. There is no monotonic anchor to reject stale but well-formed transfer packages.,MATERIAL_OMISSION
B12_adversarial_completeness,Heterogeneous EOL pipeline leaves canonical bytes undefined for the 13 unseen assets,"The two CSVs were hashed as CRLF while the JSON was hashed as LF, proving the manifest was assembled across inconsistent environments. For the 13 non-inline ass","Confirmed empirically (CRLF csv hashes vs LF json hash). The non-reproducibility root cause generalizes: an attacker exploits the ambiguity to claim any reproduction 'differs only by EOL,' defeating b",DIVERGENCE
B12_adversarial_completeness,CSV record-vs-line-count ambiguity under a naive parser,"A line-based counter equates 'lines' with 'records.' Attacker adds an embedded quoted newline in one finding's evidence field and removes a separate record, kee","Row-count assurance depends on RFC4180-correct parsing; a line-based check (or a naive split, which I observed already mis-splits the quoted-comma rows) can be steered to a wrong record count.",MINOR
